סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת
9,אלוני יצחק,868,125,24,0,24,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
18,הר עמשא,1261,130,90,0,90,12,0,1,4,0,0,0,0,0,0,3,0,0,0,0,2,10,0,3,7,10,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,6,0,0,0
18,זרועה,2064,336,251,0,251,3,0,0,2,0,0,0,0,0,0,44,0,0,0,0,0,9,0,3,137,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,40,0
18,יהל,1158,224,132,2,130,29,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,19,0,3,20,8,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0
17,קוממיות,766,258,205,0,205,0,0,0,192,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
17,אחווה,1157,181,137,0,137,9,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,31,0,5,28,7,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,2,0
18,אילות,1126,276,169,0,169,30,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,34,0,3,16,14,0,0,0,0,0,0,0,60,0,0,1,0,0,0,0,2,0,2,0
17,אליאב,1365,331,276,1,275,24,3,38,1,0,0,0,0,0,0,27,0,1,0,0,0,87,0,5,27,10,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,2,0,2,0
18,גבעולים,2014,316,261,1,260,0,0,0,1,0,0,0,0,0,0,39,0,1,0,0,0,9,0,0,174,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,30,0
17,ורדון,1133,214,156,0,156,6,0,1,6,0,1,0,0,0,0,15,0,0,0,0,0,31,0,0,53,8,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,0
